word,polarity
bien fait,positive
bien géré,positive
bien informé,positive
bien intentionnés,positive
bien placé,positive
bien reçu,positive
bien-backlit,positive
bien-être,positive
bienfaisance,positive
bienfaiteur,positive
bien-run,positive
bienveillant,positive
bienvenue,positive
bizarrement,positive
bon,positive
bon cœur,positive
bon sentiment,positive
bonheur,positive
bonjour,positive
bonne,positive
bonne chance go,positive
bonne santé,positive
bonne volonté,positive
bonté,positive
bonus,positive
bouchage,positive
branchez-,positive
bravo,positive
bravoure,positive
brillant,positive
but,positive
butin,positive
cadeau,positive
cajoler,positive
câliner,positive
calmant,positive
calme,positive
caoutchouteux,positive
capacité,positive
capital,positive
captivant,positive
captivé,positive
captiver,positive
casques bleus,positive
catégorique,positive
célébrer,positive
celeste,positive
centre,positive
certains,positive
certitude,positive
chaleur,positive
chaleureusement,positive
chaleureux,positive
champ ‘,positive
champ d’application,positive
chanceux,positive
changement,positive
charismatique,positive
charité,positive
charmant,positive
charme,positive
chaud,positive
chauffe,positive
cheerful-volonté,positive
chef-d’oeuvre,positive
chefs-d’oeuvre,positive
chercher,positive
chevaleresque,positive
chevalerie,positive
chiots,positive
choix,positive
circulation,positive
civiliser,positive
civilité,positive
civisme,positive
clair,positive
claire,positive
clairement,positive
close,positive
coeur,positive
cohérence,positive
comme,positive
commodément,positive
commodité,positive
communauté,positive
compacte,positive
compagnie,positive
compassion,positive
compétence,positive
compétences,positive
complémentaire,positive
compléments,positive
complété,positive
compréhensibles,positive
comprendre,positive
compris,positive
conciliation,positive
concilier,positive
concurrentiel,positive
condescendre,positive
confiance,positive
confiant,positive
confiante,positive
confirmer,positive
conforme,positive
confort,positive
confortable,positive
confortablement,positive
connaissances,positive
connectivité,positive
connexion,positive
conquérir,positive
conscience,positive
conscients,positive
conseils du mois,positive
conservation,positive
constante,positive
contentement,positive
contenu,positive
continu,positive
continuez,positive
continuité,positive
continuité du mile-extra-,positive
contrasté,positive
contre-attaque,positive
contre-attaques,positive
contribué,positive
convaincant,positive
convaincante,positive
convivial,positive
convivialité,positive
coopération,positive
coopératives,positive
correcte,positive
correctement,positive
côté sexy,positive
couper le souffle,positive
courage,positive
courageux,positive
courtois,positive
courtoisie,positive
creativite,positive
créativité,positive
crédible,positive
croissance,positive
croissance personnelle,positive
croyable,positive
curieusement,positive
curieux,positive
curiosité,positive
de reine,positive
de tout coeur,positive
débrouillardise,positive
début,positive
décence,positive
décent,positive
décisif,positive
découverte,positive
découvertes,positive
dédié,positive
déesse,positive
défaite,positive
défaites,positive
déférence,positive
défi,positive
délais,positive
délectable,positive
délicat,positive
délicatesse,positive
délicieusement,positive
depasse,positive
dépassé,positive
depasser,positive
dépasser,positive
dépassés,positive
deroulement,positive
désinvolture,positive
désireux,positive
détachable,positive
détachement,positive
détendez-vous,positive
determinant,positive
détermination,positive
deuil,positive
développement durable,positive
dieu,positive
dieu-send,positive
digne,positive
digne d’éloges,positive
dignité,positive
diligence,positive
diluant,positive
diplomatique,positive
direct,positive
directeurs,positive
discrétion,positive
disculper,positive
disponible,positive
distinctement,positive
distinctions,positive
distingué,positive
diversifié,positive
diversité,positive
divertissant,positive
divertit,positive
divinement,positive
dominante,positive
dominateur,positive
domine,positive
dominé,positive
dominent,positive
donnée par dieu,positive
donner,positive
donner de la dignité,positive
donner le courage,positive
douce,positive
douceur,positive
doux,positive
droit,positive
durable,positive
dynamique,positive
dynamise,positive
décontenancé,positive
eau,positive
éberlué,positive
ébloui,positive
echappant,positive
éclairage,positive
éclairée,positive
éclairer,positive
éclat,positive
éclipsait,positive
éclipser,positive
éconergétiques,positive
économe,positive
économie d’énergie,positive
économies,positive
économique,positive
écosophie,positive
écoute,positive
écoutez,positive
édifier,positive
éducation,positive
eduquer,positive
effervescence,positive
effet de levier,positive
efficace,positive
efficacement,positive
efficacité,positive
effort,positive
effusion,positive
égalité,positive
égocentrique,positive
élastique,positive
électrifier,positive
élégamment,positive
élégance,positive
éloquemment,positive
embellir,positive
émerveilla,positive
empathie,positive
empressement,positive
en,positive
enceintes,positive
enchanté,positive
enchantement,positive
enchanteresse,positive
enchanteur,positive
encouragé,positive
encourageant,positive
encourager,positive
endettés,positive
endossés,positive
énergie,positive
énergie positive,positive
engagé,positive
engagement,positive
engager,positive
enhardir,positive
enjouement,positive
enlèvement,positive
ennoblir,positive
enorme,positive
énorme,positive
énormément,positive
enrichissants,positive
enrichissement,positive
enseigner,positive
ensemble,positive
enthousiasme,positive
enthousiasmer,positive
enthousiaste,positive
entreprenant,positive
enviable,positive
envie,positive
envieux,positive
envoûtante,positive
envoûtantes,positive
époustouflant,positive
équanime,positive
équilibré,positive
équipe,positive
equitable,positive
équitable,positive
équité,positive
equivoque,positive
ergonomique,positive
err-gratuit,positive
espace,positive
espoir,positive
esprit,positive
essoufflement,positive
estime de soi,positive
état d’esprit,positive
éternelle,positive
éthique,positive
étoffé,positive
étonnamment,positive
étonnant,positive
étonné,positive
etonnement,positive
étonnement,positive
étonner,positive
étourdi,positive
être,positive
étude,positive
eudémonisme,positive
eudémoniste,positive
euphorie,positive
euphorique,positive
eutonie,positive
évocatrice,positive
évoluer,positive
évolutif,positive
exaltante,positive
exalter,positive
examen,positive
excella,positive
excellait,positive
excelle,positive
excellemment,positive
excellence,positive
excellent,positive
exceptionnel,positive
exceptionnellement,positive
excitant,positive
excite,positive
excité,positive
exemplaire,positive
exercicen,positive
expansif,positive
expérience,positive
experte,positive
exploiter,positive
expression,positive
expressivité,positive
exquis,positive
extase,positive
extases,positive
extraordinaire,positive
extraordinairement,positive
extrêmement,positive
exubérance,positive
exubéran,positive
être,positive
fabuleusement,positive
fabuleux,positive
facile,positive
facile à approcher,positive
facile à utiliser,positive
facile à vivre,positive
facilement,positive
facilite,positive
facilité d’esprit,positive
faciliter,positive
faible risque,positive
faire,positive
faire aimer,positive
faire la différence,positive
faire l’éloge,positive
fameusement,positive
famille,positive
fascinant,positive
fascinante,positive
fasciner,positive
fatuité,positive
faveur,positive
favorites,positive
felicitations,positive
félicitations,positive
féliciter,positive
fermement,positive
fermes,positive
fermeté,positive
fertiles,positive
fervent,positive
fervente,positive
ferveur,positive
fiabilite,positive
fiabilité,positive
fiable,positive
fiables,positive
fidèles,positive
fidélité,positive
fier,positive
fils,positive
fine prospectifs,positive
finesse,positive
fit signe,positive
flatteur,positive
flatteusement,positive
florissante,positive
flottabilite,positive
flottage,positive
foi,positive
fonctionnement,positive
fond,positive
force,positive
force de persuasion,positive
fort,positive
fortuite,positive
fortuitement,positive
fou rire,positive
franc,positive
franchise,positive
frappe,positive
fraternel,positive
frisson,positive
fructueux,positive
frugalite,positive
gagnant,positive
gagnants,positive
gagner,positive
gaiement,positive
gaieté,positive
galamment,positive
garantie,positive
garder,positive
gareautrain,positive
gâteau chaud,positive
gâteaux chauds,positive
généreusement,positive
généreux,positive
générosité,positive
genialement,positive
gentiment,positive
gérable,positive
global,positive
glorieusement,positive
glorifier,positive
gout,positive
grâce,positive
gracieusement,positive
grande,positive
grande capacite,positive
grandeur,positive
grandiose,positive
grandiosité,positive
grassement,positive
gratifiant,positive
gratifiante,positive
gratifie,positive
gratifier,positive
gratuit,positive
gre,positive
grisante,positive
habilement,positive
habiles,positive
habilitees,positive
harmonieusement,positive
harmonieux,positive
harmoniser,positive
haussier,positive
haut de gamme,positive
haut la main,positive
haute énergie,positive
haute qualité,positive
haute-civisme,positive
héroïne,positive
héroïque,positive
héroïquement,positive
héroïser,positive
héroïsme,positive
heureusement,positive
heureux,positive
holistique,positive
hommage,positive
honnête,positive
honnetete,positive
honneur,positive
honoré,positive
hospitalier,positive
hôtellerie,positive
humain,positive
humilité,positive
humoristique,positive
humour,positive
hypnotisant,positive
hypnotise,positive
hypnotisé,positive
hypnotiser,positive
idealement,positive
idéaliser,positive
idéalisme,positive
idolâtré,positive
idolâtrer,positive
imbattable,positive
immaculee,positive
immédiatement,positive
impartiale,positive
impartialement,positive
impartialité,positive
impeccable,positive
impeccablement,positive
impertinence,positive
imperturbable,positive
impliquer,positive
impressioné,positive
impressionnant,positive
impressionnante,positive
impressionne,positive
inattaquable,positive
incomparable,positive
incontestable,positive
incroyable,positive
incroyablement,positive
indemne,positive
indépendance,positive
indiscutable,positive
indiscutablement,positive
individualisé,positive
indolore,positive
inébranlable,positive
inestimable,positive
infaillibilité,positive
infaillible,positive
infailliblement,positive
infinies,positive
influence,positive
ingénieusement,positive
ingénieux,positive
ingéniosité,positive
ingénu,positive
ingénument,positive
innocent,positive
innovant,positive
innover,positive
inoffensif,positive
inoubliable,positive
inox,positive
inspiration,positive
inspiré,positive
installation,positive
intégré,positive
intégrité,positive
intensité,positive
intéressant,positive
intéressé,positive
intérêt,positive
intérêts,positive
intime,positive
intimité,positive
intrigué,positive
intrigue tout,positive
intuitivité,positive
inventivité,positive
investir,positive
invincibilité,positive
inviolables,positive
inviolé,positive
irremplaçable,positive
irreprochable,positive
irrésistiblement,positive
jammin ‘,positive
jaune,positive
jetant,positive
jeune,positive
jeunes de cœur,positive
jeunesse,positive
joie,positive
joie de vivre,positive
jolie,positive
joliment,positive
jouant,positive
jouer,positive
jouit,positive
jovialité,positive
joyeusement,positive
joyeux,positive
jubilation,positive
judicieusement,positive
judicieux,positive
jugeote,positive
juste,positive
juste titre,positive
justement,positive
justesse,positive
justice,positive
la mode,positive
la paix intérieure,positive
la plus forte croissance,positive
lame de rasoir,positive
l’auto-compassion,positive
leader,positive
l’éducation,positive
legal,positive
legalement,positive
légitime,positive
légitimement,positive
les plus,positive
les plus performants,positive
l’état de l’art,positive
l’expression de soi,positive
libéré,positive
liberer,positive
liberté,positive
libertés,positive
lieu,positive
life-de-la-party,positive
lisible,positive
lisse,positive
logement,positive
logés,positive
logique,positive
longévité,positive
louable,positive
louant,positive
loving-acceptation,positive
loving-sentiments,positive
lucide,positive
lucidement,positive
lucratif,positive
lucratifs,positive
ludique,positive
lumière,positive
lumières,positive
lumineux,positive
luminosite,positive
lustre,positive
luxe,positive
luxueusement,positive
magique,positive
magistralement,positive
magnanime,positive
magnanimement,positive
magnanimité,positive
magnifique,positive
magnifiquement,positive
mains-bas,positive
maîtrise,positive
majesté,positive
maniable,positive
manivelle (up),positive
maturité,positive
meilleur,positive
meilleure qualité,positive
méliorisme,positive
mélodieux,positive
mentalité,positive
merci,positive
merveilles,positive
merveilleusement,positive
merveilleux,positive
méticuleusement,positive
méticuleux,positive
mieux,positive
mieux connus,positive
mieux que prévu,positive
mignon,positive
miraculeuse,positive
miraculeusement,positive
mise à jour,positive
miséricordieux,positive
moderne,positive
modeste,positive
moins cher,positive
mondialement célèbre,positive
monumentale,positive
morale,positive
motivation,positive
motivé,positive
motivez,positive
mouvement,positive
moyens,positive
,positive
 multi-usage,positive
mûrement,positive
mutualite,positive
naissance,positive
narcissisme,positive
nature,positive
navigables,positive
néoténie,positive
net,positive
neuf,positive
noblement,positive
non equivoque,positive
non utilisé,positive
non-résistance,positive
non-résistent,positive
non-violente,positive
notamment,positive
nourries,positive
nourrir,positive
nouveau,positive
nouveauté,positive
nullemen,positive
numéro gratuit,positive
obéissant,positive
obtenu,positive
om-mani padme-hum-,positive
opportunité,positive
optimise,positive
optimiser,positive
optimisme,positive
optimiste,positive
ordre,positive
organisation,positive
orientation,positive
originalite,positive
oui,positive
ouvert,positive
ouvert d’esprit,positive
ouvertement,positive
ouverture,positive
pacifier,positive
pacifique,positive
pacte,positive
paillard,positive
paisible,positive
paisiblement,positive
paix,positive
palpitante,positive
panacée,positive
panoramique,positive
pape,positive
pardon,positive
pardon à soi-,positive
pardonner,positive
parenté,positive
parfait,positive
parfaitement,positive
partager,positive
passion,positive
passionné,positive
patiemment,positive
patriotique,positive
pêche,positive
pensée positive,positive
pensivement,positive
percée,positive
permettre,positive
permis,positive
persévérance,positive
persévérer,positive
persistance,positive
personnages,positive
personnalisés,positive
perspicace,positive
perspicacité,positive
phénoménale,positive
phénoménalement,positive
piete,positive
piété,positive
pieux,positive
piquant,positive
plaisir,positive
plein d’entrain,positive
plénitude,positive
plus,positive
plus connu,positive
plus difficile,positive
plus facile,positive
plus fort,positive
plus frais,positive
plus rapide,positive
plus résistantes,positive
plus spacieux,positive
plus stable,positive
plus vendue,positive
plus vite,positive
poétique,positive
poétiser,positive
points forts,positive
poli,positive
politesse,positive
polyvalence,positive
polyvalent,positive
ponctualité,positive
ponctuel,positive
populaire,positive
porteur,positive
positif,positive
positif circonstances,positive
positif croyances,positive
positif événements,positive
positif pensées,positive
positif-mind,positive
positifs,positive
positifs mots,positive
positive,positive
pouce en l’air,positive
pouces vers le haut,positive
pour trois fois rien,positive
pour vous,positive
pratique,positive
précieux,positive
précise,positive
précision,positive
preeminent,positive
prééminent,positive
préférables,positive
préférant,positive
préfère,positive
preference,positive
préférés,positive
premier ordre,positive
première classe,positive
première en classe,positive
préparation,positive
présence,positive
prestigieux,positive
prets,positive
prévenance,positive
prévenant,positive
prévoyance,positive
principaux,positive
principes,positive
prise de risques,positive
privilégié,positive
prix,positive
proactivité,positive
problème-gratuit,positive
prodigieusement,positive
prodigieux,positive
productif,positive
productive,positive
produire,positive
profiter,positive
profonde,positive
profondément,positive
profus,positive
promesse,positive
promesses,positive
prometteur,positive
promise,positive
promoteur,positive
promptitude,positive
propice,positive
proposée,positive
propre,positive
proprement,positive
propreté,positive
prospère,positive
prospérité,positive
protection,positive
protéger,positive
prouve,positive
prouver,positive
proximité,positive
prudence,positive
puissamment,positive
puissance,positive
puissant,positive
qualifié,positive
qualifier,positive
qualifiés,positive
qualité,positive
quiddité,positive
quotidien,positive
rachat,positive
racheter,positive
raffinement,positive
rafraîchi,positive
rafraîchissante,positive
ragaillardé,positive
raison,positive
raisonnable,positive
raisonnablement,positive
rajeuni,positive
rajeunir,positive
rajeunissante,positive
rapidement,positive
rapidite,positive
rapports,positive
rapprochement,positive
rationalite,positive
ravi,positive
ravir,positive
ravis,positive
ravissement,positive
ravive,positive
réaffirmation,positive
reaffirment,positive
réalisable,positive
réalisation,positive
réalisations,positive
réaliste,positive
réalistement,positive
réalité,positive
réassurance,positive
réceptif,positive
recherche,positive
recommandation,positive
recommandations,positive
recommandé,positive
recommander,positive
recommandons,positive
récompense,positive
récompenser,positive
réconfortant,positive
réconfortante,positive
reconnaissance,positive
reconnaissants,positive
record,positive
recours,positive
rectification,positive
recueillis,positive
récupération,positive
récupérer,positive
redempteur,positive
redresser,positive
réduction des coûts,positive
réfléchie,positive
reforme,positive
réforme,positive
réformes,positive
réglable,positive
réjouissance,positive
réjouissances,positive
relations,positive
remarquable,positive
remarquablement,positive
rembourse,positive
remboursement,positive
remerciements,positive
remise,positive
remplaçable,positive
remplie,positive
rémunéré,positive
rémunérer,positive
renommée,positive
renouvelé,positive
renseignée,positive
rentable,positive
répit,positive
repos,positive
reposant,positive
réputation,positive
réputé,positive
résolument,positive
respect de soi,positive
respectueusement,positive
respectueux,positive
respectueux de la loi,positive
resplendissante,positive
responsabilité,positive
responsable,positive
ressortir,positive
restauree,positive
restructuration,positive
résultat,positive
retentissant,positive
retenu,positive
rétractable,positive
réussi,positive
réussir,positive
rêve,positive
réveillé,positive
révélation,positive
révérence,positive
révérencieux,positive
revigoré,positive
revigorer,positive
revitalisation,positive
revivre,positive
révolutionnaire,positive
revolutionne,positive
révolutionne,positive
revolutionner,positive
riche,positive
riche en fonctionnalités,positive
richement,positive
richesse,positive
rire,positive
robuste,positive
robustesse,positive
romancer,positive
romantique,positive
romantiquement,positive
rose,positive
royalement,positive
sacre,positive
sacré,positive
s’adoucir,positive
sagacité,positive
sage,positive
sagement,positive
sagesse,positive
saine,positive
saint,positive
saint-,positive
sainteté,positive
saisissante,positive
saluent,positive
salut,positive
salutaire,positive
sanctifié,positive
sans condition,positive
sans crainte,positive
sans douleur,positive
sans problème,positive
sans risque,positive
sans tache,positive
sans vergogne,positive
santé,positive
satisfaction,positive
satisfaire,positive
satisfaisant,positive
satisfait,positive
sautage,positive
sauvegarder,positive
sauveur,positive
savoir,positive
savourer,positive
scintillant,positive
sculptural,positive
se connecter,positive
se délecter,positive
se montrer plus malin,positive
se sentir bien,positive
securise,positive
sécurité,positive
séduisante,positive
séduit,positive
sens,positive
sensationnelle,positive
sensations,positive
sensibilisation,positive
sensible,positive
serein,positive
serenite,positive
sérieusement,positive
sérieux,positive
servir,positive
sévères,positive
sexuelle expression,positive
significatif,positive
significative,positive
s’il vous plaît,positive
silencieux,positive
simple,positive
simplicité,positive
simplifie,positive
simplifiée,positive
simplifier,positive
sincèrement,positive
sincérité,positive
soigneusement,positive
soin,positive
soin de soi,positive
soins,positive
solidarité,positive
solide,positive
solidite,positive
sollicitude,positive
somptueusement,positive
somptueux,positive
somptuosité,positive
sonore,positive
sophistiquée,positive
sortant,positive
soucieux,positive
souhaitant,positive
soulagé,positive
soulager,positive
souplesse,positive
souriant,positive
sourire,positive
soutenu,positive
soutenue,positive
soutien,positive
spacieuse,positive
spacieux,positive
spécialisés,positive
spectaculaire,positive
spirituel,positive
splendeur,positive
spontanéité,positive
sportif,positive
stabilisation,positive
stabilité,positive
stables,positive
stimulante,positive
stimule,positive
stimulé,positive
stimuler,positive
studieuse,positive
stupéfait,positive
stupéfie,positive
style,positive
stylisé,positive
suavement,positive
subjugué,positive
subventionne,positive
subventionnée,positive
subventionnement,positive
subventionner,positive
succède,positive
succès,positive
sucrer,positive
suffi,positive
suffisamment,positive
suffisant,positive
suffit,positive
super pouvoir,positive
superbe,positive
superbement,positive
superieure,positive
supérieure,positive
suprématie,positive
suprêmement,positive
sur un seul point,positive
surestimation,positive
surmonter,positive
surpassé,positive
surpasser,positive
surperformant,positive
surperforme,positive
surperformé,positive
surperformer,positive
surpris,positive
survie,positive
survivant,positive
susciter,positive
sympathie,positive
sympathique,positive
sympathisants,positive
sympathiser,positive
synergie,positive
systématisation,positive
talent,positive
temps,positive
temps-honoré,positive
tendance,positive
tendresse,positive
tentation,positive
terre,positive
terrible,positive
terriblement,positive
thérapie,positive
titillant,positive
titiller,positive
tolérance,positive
touché,positive
tourmenter,positive
tout autour,positive
tranquille,positive
tranquillité,positive
transformatif,positive
transformer,positive
travail,positive
travail d’équipe,positive
travaille,positive
travailleur,positive
travaux,positive
très,positive
triomphalement,positive
trivialement,positive
trompette,positive
un prodige,positive
un résolveur de problèmes,positive
unification d’esprit,positive
uniformément,positive
unité,positive
utile,positive
utiles,positive
utilité,positive
vaillamment,positive
vaincre,positive
valeur,positive
valeurs,positive
valide,positive
variété,positive
vedette,positive
vénération,positive
vénérer,positive
véracité,positive
véridique,positive
vérifiable,positive
vérifier,positive
véritable,positive
vérité,positive
vertu,positive
vertueusement,positive
vertueux,positive
veuillez,positive
victoire,positive
vie,positive
vie privée,positive
viens me chercher,positive
vif,positive
vigilance,positive
visionnaire,positive
visualisable,positive
vitalite,positive
vivace,positive
vivacité,positive
vivant,positive
vivifiante,positive
vivifier,positive
voeu,positive
volontairement,positive
volonté,positive
VRAI,positive
worth-tout,positive
x factor,positive
xénophile,positive
à l'aise,positive
,positive
jubile,positive
absorbé,positive
ému,positive
libre,positive
affection,positive
 ému,positive
liesse (en),positive
ahuri,positive
enchanté,positive
nourri,positive
alerte,positive
encouragé,positive
optimiste,positive
allégé,positive
énergie (plein d'),positive
paisible,positive
allègre,positive
enflammé,positive
paix (en),positive
amical,positive
engoué,positive
pétillant,positive
amour (en),positive
enjoué,positive
qui a du plaisir,positive
amour (plein d'),positive
enthousiasmé,positive
porté à aider,positive
amoureux,positive
entrain (plein d'),positive
proche,positive
amusé,positive
épanoui,positive
radieux,positive
animé,positive
étonné,positive
radouci,positive
appréciation (plein 'd),positive
étourdi,positive
rafraîchi,positive
ardeur,positive
plein d'ardeur ,positive
éveillé,positive
ragaillardi,positive
assouvi,positive
exalté,positive
rasséréné,positive
attentif,positive
excité,positive
rassuré,positive
au septième ciel,positive
expansif,positive
ravi,positive
aux anges,positive
expansion (en),positive
ravigoté,positive
aventureux,positive
expectative (dans l'),positive
rayonnant,positive
béat,positive
extase (en),positive
réconforté,positive
bonne humeur (de),positive
exubérant,positive
reconnaissant,positive
bouleversé,positive
fasciné,positive
réjoui,positive
calme,positive
fier,positive
rempli d'espoir,positive
captivé,positive
fou de joie,positive
revigoré,positive
centré,positive
gai,positive
satisfait,positive
apothéose,positive
allégresse,positive
béatitude,positive
consécration,positive
couronnement,positive
délice,positive
égaiement,positive
enthousiasme,positive
euphorie,positive
exaltation,positive
extase,positive
félicité,positive
gaieté,positive
gloire,positive
harmonie,positive
hilarité,positive
honneur,positive
idylle,positive
jubilation,positive
lauriers,positive
amertune,negative
 abattement,negative
 absurdité,negative
 accablement,negative
 affliction,negative
 amertume,negative
 angoisse,negative
 assombrissement,negative
 austérité,negative
 agitation,negative
 agressivité,negative
 aigreur,negative
 animosité,negative
 anxiété,negative
 atrabilaire,negative
 agassement,negative
 cher,negative
 couter,negative
 crainte,negative
 chagrin,negative
 colère,negative
 consternation,negative
 courroux,negative
 critique,negative
 contradiction,negative
 crainte,negative
 cruauté,negative
 déranger,negative
 dépendre,negative
 désoler,negative
 difficile,negative
 découragement,negative
 dégoût,negative
 dépression,negative
 désabusement,negative
 désenchantement,negative
 désespérance,negative
 désolation,negative
 deuil,negative
 douleur,negative
 dépit,negative
 duplicité,negative
 défaitisme,negative
 doute,negative
 desarmé,negative
 ennui,negative
 éplorement,negative
 ébullition,negative
 effervescence,negative
 emportement,negative
 éréthisme,negative
 étroitesse,negative
exaspération,negative
 excitation,negative
 excédé,negative
  embêtement,negative
 embarras,negative
 étourdi,negative
 énervement,negative
 froideur,negative
 folie,negative
 fâcherie,negative
 fulminant,negative
 fureur,negative
 frustration,negative
 frousse,negative
 fermeté,negative
 faiblesse,negative
 grossièreté,negative
 haine,negative
 hargne,negative
 honte,negative
 humiliation,negative
 hautain,negative
 impossible,negative
 inconscience,negative
 indélicatesse,negative
 indifférence,negative
 insensibilité,negative
  idées noires,negative
 inquiétude,negative
 impatience,negative
 indignation,negative
 irascibilité,negative
 ire,negative
 irritabilité,negative
 irrationalité,negative
 impuissant,negative
 long,negative
 laideur,negative
 lassitude,negative
 lourdeur,negative
 mal,negative
 malheureusement,negative
  mais,negative
 mauvais,negative
 marre,negative
 machiavélisme,negative
 mal,negative
 maladresse,negative
 malaise,negative
 malheur,negative
 maussaderie,negative
 mécontentement,negative
 méfiance,negative
 mélancolie,negative
 mocheté,negative
 monotonie,negative
 morosité,negative
 moquerie,negative
 méchanceté,negative
 mauvais,negative
 mentir,negative
 ne quittez pas,negative
 néanmoins,negative
 négatif,negative
 navrement,negative
 niais,negative
 nigaud,negative
 neurasthénie,negative
 noirceur,negative
 nostalgie,negative
 orgueil,negative
 pas avant le,negative
 pauvreté,negative
 peine,negative
 platitude,negative
 petit,negative
 peu,negative
 peur,negative
 présumer,negative
 préjuger ,negative
prétention,negative
 problème,negative
 rage,negative
 ressentiment,negative
 rogne,negative
 rudesse,negative
 résignation,negative
 sagacité,negative
 sévérité,negative
 sombreur,negative
 souci,negative
 souffrance,negative
 spleen,negative
 stupidité,negative
 susceptibilité,negative
 supériorité,negative
 sottise,negative
 suicide,negative
 tristesse,negative
 vague à l’âme,negative
 vengeance,negative
 violence,negative
 vulgaire,negative
 ,
