date,text,hashtags,sentiment,words
Sat Mar 17 18:07:01 +0000 2018,"La sagesse d’une des meilleures spécialistes de la #Russie , à lire et à partager !  « Il ne faut pas juger le pouvoir autoritaire de Poutine à l'aune de nos seuls critères» https://t.co/hCr3NpnEIj via @Le_Figaro",Russie,positif,"sagesse,dune,meilleure,spécialiste,russie,lir,partager,«,falloir,juger,pouvoir,autoritaire,poutine,aune,seul,critère,»,via,le_figaro"
Sun Mar 18 14:04:18 +0000 2018,"POUTINE RÉÉLECTION , 4eme mandat, et il emmerde grave l'Europe,  lui remet son pays au rang de grande puissance, comme TRUMP, son pays son peuple,  pas la dissolution des valeurs des traditions organisées par l' UE !! https://t.co/f7F2m55ZHq",NO HASHTAG,positif,"poutine,réélection,4eme,mandat,emmerd,grave,europe,remettre,pays,rang,grand,puissance,comme,trump,pay,peuple,dissolution,valeur,tradition,organiser,',ue"
Sun Mar 18 15:46:24 +0000 2018,"Des Russes contraints d'aller voter, déclare l'opposition https://t.co/jtqIyYIMhh",NO HASHTAG,neutre,"russe,contraint,aller,voter,déclarer,opposition"
Sun Mar 18 15:46:24 +0000 2018,"Quand Poutine est élu pour la quatrième fois c'est de la dictature, quand Merkel est élue pour la quatrième fois c'est de la démocratie. https://t.co/x16ojJygg2",NO HASHTAG,positif,"quand,poutine,élu,quatrième,fois,être,dictature,quand,merkel,élire,quatrième,fois,être,démocratie"
Sun Mar 18 15:46:23 +0000 2018,"@adrenaline1001 @SOSCdOrient Absolument, VIVE LA RUSSIE",NO HASHTAG,positif,"adrenaline1001,soscdorient,absolument,vif,russie"
Sun Mar 18 15:46:17 +0000 2018,"Face à la Russie, un front européen transpercé - Face à la Russie, un front européen transpercé  Le TempsFull coverage Face à la Russie, un front européen transpercé Mxit International. https://t.co/6o7Md92CUZ",NO HASHTAG,neutre,"face,russie,front,européen,transpercer,face,russie,front,européen,transpercer,tempsfull,coverage,face,russie,front,européen,transpercer,mxit,international"
Sun Mar 18 10:02:06 +0000 2018,"#russie
Tout est dit par la veuve de #soljenitsyne
#macron se rêve en #DeGaulle mais est dans les(petits)pas d’#Hollande
Il nous rejoue la stupide crise des #mistrals
s’aligne sans broncher sur la ligne USA/GB sans proposer aucune solution au détriment des intérêts français https://t.co/FoiciK3gfO","russie, soljenitsyne, macron, DeGaulle",positif,"russie,tout,dire,veuf,soljenitsyne,macron,rêv,degaulle,lespetitspas,dhollande,rejouer,stupide,cris,mistral,salign,sans,broncher,ligne,user,/,gb,sans,proposer,aucun,solution,détriment,intérêt,français"
Fri Mar 16 21:56:21 +0000 2018,"Salon du livre : Natalia, veuve d'Alexandre Soljenitsyne «peinée» par le président français Macron : « Tourner le dos au dialogue avec les gens de la culture et des arts c’est extrêmement étonnant et ne sied pas à un leader politique français » 
https://t.co/bznZwoxlCi",NO HASHTAG,positif,"salon,livr,natalia,veuf,alexandre,soljenitsyne,«,peiner,»,président,français,macron,«,tourner,dos,dialogue,gens,culture,art,cest,extrêmement,étonnant,seoir,leader,politique,français,»"
Sun Mar 18 13:44:28 +0000 2018,"#Mayotte
12% de votes.

#Russie

+ de 60% de votes. 
En augmentation par rapport à la précédente présidentielle. 

Non, rien, je cherche où est la démocratie et où les gens y'croient...","Mayotte, Russie",neutre,"mayotte,12,vote,russie,+,60,vote,augmentation,rapport,précédent,présidentielle,non,rien,cherche,où,démocratie,où,gens,y',croire"
Sun Mar 18 15:08:49 +0000 2018,"""Un président fort pour un pays fort""
 Vladimir Poutine. https://t.co/129aV4nfug",NO HASHTAG,positif,"président,fort,pays,fort,vladimir,poutine"
Sun Mar 18 15:01:47 +0000 2018,"Le président Assad se rend auprès de ses troupes dans la Ghouta après en avoir chassé les groupes djihadistes le jour de la conquête d’Afrin par Erdoğan et de la réélection de Vladimir Poutine.
Tout cela ressemble étrangement à un jeu d’échecs. https://t.co/mZTG2waGzS",NO HASHTAG,neutre,"président,assad,rendre,auprès,troupe,ghouta,après,avoir,chasser,groupe,djihadister,jour,conquêt,dafrin,erdoğan,réélection,vladimir,poutine,tout,celer,ressembler,étrangement,jeu,déchec"
Sun Mar 18 15:46:06 +0000 2018,@valerieboyer13 @_Stalker_69_ @BelattarYassine Agent de poutine de spoutnik. RT traitre a la France,NO HASHTAG,neutre,"valerieboyer13,_,stalker_69,_,belattaryassine,agent,poutine,spoutnik,rt,traitre,avoir,france"
Sun Mar 18 15:46:06 +0000 2018,Des irrégularités signalées lors de la présidentielle en Russie https://t.co/LnuX8uUBBB,NO HASHTAG,neutre,"irrégularité,signaler,lors,présidentielle,russie"
Sun Mar 18 15:46:04 +0000 2018,"Oui, exactement https://t.co/URZRmcfAaU",NO HASHTAG,positif,"oui,exactement"
Sun Mar 18 15:29:17 +0000 2018,Cette petite impression que les russes se foutent de la gueule des britanniques..  Non ?  #Salisbury #svr #Russie #uk https://t.co/IYuxrX3Xfn,"Salisbury, svr, Russie",negatif,"petit,impression,russe,foutre,gueule,britannique,non,salisbury,svr,russie,uk"
Sun Mar 18 15:46:01 +0000 2018,"Exclu de la présidentielle en Russie, Alexeï Navalny mobilise ses … - Exclu de la présidentielle en Russie, Alexeï Navalny mobilise ses ...  La CroixFull coverage Exclu de la présidentielle en Russie, Alexeï Navalny mobilise ses … Mxit International.... https://t.co/oAv15jOSY6",NO HASHTAG,neutre,"exclure,présidentiel,russie,alexeï,navalny,mobilis,…,exclure,présidentiel,russie,alexeï,navalny,mobiliser,croixfull,coverage,exclure,présidentiel,russie,alexeï,navalny,mobilis,…,mxit,international"
Sun Mar 18 15:46:00 +0000 2018,"Augmenter ses investissements dans la lutte contre le changement climatique, endiguer la corruption, déréguler et privatiser certains secteurs de l’économie... Les défis économiques que doit relever la Russie  https://t.co/QYBYj9rPNN https://t.co/gywf1voDwS",NO HASHTAG,positif,"augmenter,investissement,lutte,contrer,changement,climatique,endiguer,corruption,déréguler,privatiser,certain,secteur,léconomie,défi,économique,devoir,relever,russie"
Sun Mar 18 07:38:26 +0000 2018,"Sur France Info à l'instant, d'une ""spécialiste"" de la Russie, après que la présentatrice annonce que Vladimir #Poutine devrait obtenir 70% des suffrages et son quatrième mandat, ""il ne sera pas légitime"" 

Quand le ridicule de ces précieuses ne tue pas. 

#Poutine2018",NO HASHTAG,positif,"france,info,instant,spécialiste,russie,après,présentateur,annonce,vladimir,poutine,devoir,obtenir,70,suffrage,quatrième,mandat,légitimer,quand,ridicule,précieux,taire,poutine2018"
Sun Mar 18 15:45:00 +0000 2018,"""On nous a forcés"" : des Russes affirment avoir été contraints de voter à la présidentielle 
https://t.co/CYQkhNCvcZ https://t.co/bOGtZNJFKK",NO HASHTAG,positif,"avoir,forcer,russe,affirmer,avoir,contraint,voter,présidentielle"
Sun Mar 18 09:56:12 +0000 2018,"Depuis 18 ANS au POUVOIR, après avoir modifié la Constitution 
▶️Candidat UNIQUE
▶️Journalistes ASSASSINÉS 
▶️Opposants EMPRISONNÉS ou tués
▶️Médias CENSURÉS 
▶️Homosexuels POURCHASSÉS 

Mais la #Fachosphère pro #Poutine vous dira que c'est #Macron, le ""dictateur"". https://t.co/7Gk15647JF",NO HASHTAG,positif,"depuis,18,an,pouvoir,après,avoir,modifier,constitution,▶,️candidat,unique,▶,️journaliste,assassiner,▶,️opposant,emprisonner,tuer,▶,️médias,censuré,▶,️homosexuels,pourchasser,fachosphère,pro,poutine,dire,être,macron,dictateur"
Sat Mar 17 23:58:50 +0000 2018,"VIDEO⚡️Election #Russe : Jean-Pierre Thomas remet en place Anthony Bellanger le pseudo spécialiste #international de #BFMTV ridiculement anti-#Russe qui ne sait visiblement pas de quoi il parle.
@A_Bellanger @rafftho @FrancoisGapihan #Poutine #Russie https://t.co/3wanDCVhKm","Russe, international",positif,"video,⚡,️election,russe,jeanpierre,thomas,remettre,place,anthony,bellanger,pseudo,spécialiste,international,bfmtv,ridiculemer,antirusse,savoir,visiblement,quoi,parler,a_bellanger,rafftho,francoisgapihan,poutine,russie"
Sun Mar 18 15:53:44 +0000 2018,"@bernardsala Et alors si c'est un dictateur ? Tant qu'il a le support de son peuple en majorité, je ne vois pas ou est le problème. La démocratie n'est pas une valeur universelle. Les russes sont des pragmatiques ; ils veulent la stabilité et la fierté nationale.",NO HASHTAG,positif,"bernardsala,alors,si,être,dictateur,tant,avoir,support,peuple,majorité,voir,problème,démocratie,être,valeur,universel,russe,pragmatique,vouloir,stabilité,fierter,national"
Thu Mar 15 19:44:25 +0000 2018,Affaire de l’empoisonnement de l’ex espion russe #Skripal : cette photo de l’agent toxique est la preuve que c’est bien la #Russie qui l’a tué ! Regardez ! ‍♂️ https://t.co/2hU87xlZ6O,Skripal,positif,"affaire,lempoisonnement,lex,espion,russe,skripal,photo,lagent,toxique,preuve,cest,bien,russie,tuer,regarder,‍,♂,️"
Sun Mar 18 15:53:43 +0000 2018,"Poutine, l'incontournable patron de la Russie - L'Express https://t.co/CqzYeQb0kv",NO HASHTAG,neutre,"poutine,incontournable,patron,russie,express"
Sun Mar 18 15:53:41 +0000 2018,"""On nous a forcés"" : des Russes affirment avoir été contraints de voter à la présidentielle https://t.co/RIbG23BT9L",NO HASHTAG,positif,"avoir,forcer,russe,affirmer,avoir,contraint,voter,présidentielle"
Sun Mar 18 15:52:12 +0000 2018,Les élections présidentielles russes ne ressemblent vraiment pas aux nôtres... https://t.co/fZqo0ts9Mg,NO HASHTAG,neutre,"élection,présidentiel,russe,ressembler,vraiment,nôtre"
Sat Mar 17 07:47:09 +0000 2018,"Poutine, bientôt un quatrième mandat = dictateur. 
Angela Merkel, 4 mandats = démocrate.

On peut arrêter de se foutre de la gueule du monde ?",NO HASHTAG,neutre,"poutine,bientôt,quatrième,mandat,dictateur,angela,merkel,4,mandat,démocrate,pouvoir,arrêter,foutre,gueul,monde"
Sun Mar 18 14:42:51 +0000 2018,"#Poutine
« Les quatre guerres qui ont émaillé ses dix-huit années de mandat se sont traduites par des regains de popularité. »
@lemondefr  https://t.co/OZbEmMkMQJ",Poutine,neutre,"poutine,«,quatre,guerre,émailler,dixhuit,année,mandat,traduit,regain,popularité,»,lemondefr"
Sun Mar 18 15:53:32 +0000 2018,"@Kimyongur @_Stalker_69_ @SweeneySteve En Europe, on se préoccupe davantage de Poutine que d'Erdogan. Une grave erreur que l'on risque de payer car le pouvoir de la Turquie est renforcé par cette appropriation.",NO HASHTAG,neutre,"kimyongur,_,stalker_69,_,sweeneysteve,europe,préoccuper,davantage,poutine,erdogan,grave,erreur,risquer,payer,car,pouvoir,turquie,renforcer,appropriation"
Sun Mar 18 15:51:14 +0000 2018,On se croirait en 1997 à la mairie du 5e arrondissement de Paris !! https://t.co/w5XbJpK7Ge,NO HASHTAG,neutre,"croire,1997,mairie,5e,arrondissement,pari"
Sun Mar 18 15:44:32 +0000 2018,"#Russie : Des images surréalistes de fraudes dans les bureaux de vote russes  ⏬
https://t.co/DLzvveqeju https://t.co/50SJO5qX84",Russie,neutre,"russie,image,surréaliste,fraude,bureau,vote,russe,⏬"
Sun Mar 18 12:58:27 +0000 2018,Parce que c'est un excellent président ! Pas plus compliqué que cela . https://t.co/syP4uggtb2,NO HASHTAG,positif,"parce,être,excellent,président,plus,compliquer,celer"
Sun Mar 18 06:31:23 +0000 2018,Pourquoi les Russes continuent-ils à voter pour Vladimir Poutine? https://t.co/Yyl8d00EKW https://t.co/PJR6IXvEVc,NO HASHTAG,neutre,"pourquoi,russe,continuentils,voter,vladimir,poutine"
Sun Mar 18 09:35:32 +0000 2018,"A l'occasion de l'élection présidentielle en Russie, lire ou relire Larissa Zakharova (""S'habiller à la soviétique. La mode et le dégel en URSS"", @CNRSEd, 2011) https://t.co/pEPQy0v0PR https://t.co/IkYIk5yUdL",NO HASHTAG,neutre,"avoir,occasion,élection,présidentiel,russie,lir,relire,larissa,zakharova,si,habiller,soviétique,mod,dégel,urss,cnrsed,2011"
Thu Apr 26 07:45:41 +0000 2012,"1959 : Christian Dior à Moscou. 1956,1960 et 1965 : délégations de la mode soviétique à Paris. Larissa Zakharova sur @france_culture.",NO HASHTAG,neutre,"1959,christian,dior,moscou,19561960,1965,délégation,mode,soviétique,pari,larissa,zakharova,france_cultur"
Sat Mar 17 12:12:16 +0000 2018,"La forme de guerre la plus violente est la guerre raciale; c’est une guerre d’extermination. Pour cette raison, le conflit avec la Russie est si dur. Il a tous les traits d’une guerre raciale : entre les Blancs qui veulent vivre et les Blancs qui veulent mourir",NO HASHTAG,positif,"forme,guerre,plus,violent,guerre,racial,cest,guerre,dextermination,raison,conflit,russie,si,dur,avoir,tou,trait,dune,guerre,racial,entrer,blanc,vouloir,vivre,blanc,vouloir,mourir"
Sun Mar 18 08:34:00 +0000 2018,"VIDEO⚡️Gilles Rémy (PDG de Cifal) : «Le #Russe moyen considère que l'#Europe a complètement abandonné les #Chrétiens d'Orient et que la #Russie est aujourd'hui le seul pays qui a une politique cohérente et qui est le dernier protecteur de ces populations.»
#Poutine @SOSCdOrient https://t.co/udnjT2Tf1D","Russe, Europe",neutre,"video,⚡,️gilles,rémy,pdg,cifal,«,russe,moyen,considérer,europe,avoir,complètement,abandonner,chrétien,orient,russie,aujourd'huie,seul,pays,avoir,politique,cohérent,dernier,protecteur,population,»,poutine,soscdorient"
Sun Mar 18 15:53:25 +0000 2018,"Plusieurs raids aériens russes ont bombardé des localités à la campagne nord de Hama: Kafr Zita, A-Sakhr. Quelques civiles sont blessés. 
#Syrie",NO HASHTAG,neutre,"plusieurs,raid,aérien,russe,bombarder,localité,campagne,nord,hama,kafr,zita,asakhr,quelque,civil,blessé,syrie"
Sun Mar 18 09:48:32 +0000 2018,Et pendant ce temps ❗️ Quelle Honte  https://t.co/vUk1l9Hd1I,NO HASHTAG,positif,"pendre,temps,❗,️,quel,hont"
Sun Mar 18 09:23:46 +0000 2018,"Élection Russie. Louis Alliot, le député du @FN_officiel est à Moscou en tant qu'observateur. Il fait partie d'une délégation de 26 parlementaires français, dont plusieurs FN, conduite par Thierry Mariani @RMCinfo https://t.co/jp1hwOhGYj",NO HASHTAG,positif,"élection,russie,louis,alliot,député,fn_officiel,moscou,tant,observateur,faire,partie,délégation,26,parlementaire,français,dont,plusieurs,fn,conduite,thierry,mariani,rmcinfo"
Fri Mar 16 18:15:37 +0000 2018,Je veux avoir un mot de solidarité pour nos amis britanniques. Tout porte à croire que le gouvernement russe est impliqué. Nous réaffirmons notre volonté commune d’interdire toute utilisation d’arme chimique.,NO HASHTAG,positif,"vouloir,avoir,mot,solidarité,ami,britannique,tout,porter,croire,gouvernement,russe,impliquer,réaffirmon,volonté,commun,dinterdir,tout,utilisation,darm,chimique"
Sun Mar 18 14:51:05 +0000 2018,"Poutine au Québec, ça serait @JFLisee @kick1972 @gravela_rc @PKP_Qc @RiMartineau @PacoLebel @F_Cardinal @amirkhadir qui disparaissent la même année. https://t.co/DSDx0ORkJQ",NO HASHTAG,neutre,"poutine,québec,ça,jflisee,kick1972,gravela_rc,pkp_qc,rimartineau,pacolebel,f_cardinal,amirkhadir,disparaître,année"
Sun Mar 18 15:53:21 +0000 2018,"Affaire de l'espion russe : ""Il faut frapper Poutine au coffre-fort"". La formulation sur le poison : ""agent neurotoxique de qualité militaire, d’un type développé par la Russie"" ne signifie pas que ce sont les russes qui l'ont produit.
https://t.co/izLCyYLBPy",NO HASHTAG,positif,"affaire,espion,russe,falloir,frapper,poutine,coffrefort,formulation,poison,agent,neurotoxique,qualité,militaire,dun,type,développé,russie,signifier,russe,avoir,produire"
Sun Mar 18 11:36:00 +0000 2018,"Les médias russes me débectent ! Une telle propagande à la gloire de Poutine, quelle honte... https://t.co/wQ3zxig9KF",NO HASHTAG,neutre,"média,russe,débecter,tel,propagande,gloir,poutine,quell,hont"
Sun Mar 18 14:51:48 +0000 2018,"#PoseTonBoycott 
Après avoir boycotté Bachard al-Assad en Syrie, j'ai décidé d'aller boycotter #Poutine aujourd'hui en Russie https://t.co/QuH69U1Dup","PoseTonBoycott, Poutine",neutre,"posetonboycott,après,avoir,boycotter,bachard,alassad,syrie,avoir,décider,aller,boycotter,poutine,aujourd'huie,russie"
Sun Mar 18 15:53:10 +0000 2018,"Retweeted Quotidien (@Qofficiel):

Vu hier pendant le dernier débat de l’élection présidentielle russe : un... https://t.co/TJbwh7yOT0",NO HASHTAG,positif,"retweeted,quotidien,qofficiel,voir,hier,pendre,dernier,débat,lélection,présidentiel,russe"
